No.,Name,Function Description,Parameter Group
181,Current target achieved  ,"When actual current   reached this  and set time elapsed, torque arrival flag will be set.",Speed mode
182,Speed achieved  ,"When actual speed  reached this speed  and set time elapsed, speed achieved flag will be set.",Speed mode
183,Data record channel 1 content,"Data record channel 1 record content:
0-not defined;
1-Position setting  ;
2-Actual position  £»
3-speed setting;
4-actual speed;
5-d axis current setting  ;
6-d axis actual current;
7-q axis current setting  ;
8-q axis current actual  ;
9-alpha axis current;
10-beta axis current;
11-motor U phase current;
12-motor V phase current;
13-position error;
14-speed error;
15-q axis current error;
16-d axis current error;
17-analog input 1#;
18-reserved;
19-I2t actual   (displayed as percentage of set  ,  0 to 10000 means 0% to 100%);",data record
184,Data record channel 2 content,"Data record channel 2 record content:
3-not defined;
4-Position setting  ;
5-Actual position  £»
3-set speed;
4-actual speed;
5-d axis current setting;
6-d axis actual current;
7-q axis current setting;
8-q axis actual current;
9-alpha axis current;
10-beta axis current;
11-motor U phase current;
12-motor V phase current;
13-position error;
14-speed error;
15-q axis current error;
16-d axis current error;
17-analog input 1#;
18-reserved;
19-I2t actual   (displayed as a percentage of set  , the   0 to 10000 means 0% to 100%);",data record
185,Data record channel 3 content,"Data record channel3 record content:
6-not defined;
7-Position setting  ;
8-Actual position  £»
3-set speed;
4-actual speed;
5-d axis current setting  ;
6-d axis current actual  d;
7-q axis current setting  ;
8-q axis current actual  ;
9-alpha axis current;
10-beta axis current;
11-motor U phase current;
12-motor V phase current;
13-position error;
14-speed error;
15-q axis current error;
16-d axis current error;
17-analog input 1#;
18-reserved;
19-I2t actual   (displayed as a percentage of set  , the   0 to 10000 means 0% to 100%);",data record
186,Data record channel 4 content,"Data record channel 4 record content:
9-not defined;
10-Position setting;
11-Actual position;
3-set speed;
4-actual speed;
5-d axis current setting;
6-d axis actual current;
7-q axis current setting;
8-q axis acutal current;
9-alpha axis current;
10-beta axis current;
11-motor U phase current;
12-motor V phase current;
13-position error;
14-speed error;
15-q axis current error;
16-d axis current error;
17-analog input 1#;
18-reserved;
19-I2t actual   (displayed as a percentage of set  , the   0 to 10000 means 0% to 100%);",data record
187,Data record sampling time,"Data recording sampling time, multiply by 0.1ms to get sampling time;",data record
188,Data record completion flag,"Data record completion flag:
0-Data recording not completed;
1-Data recoding completed;",data record
189,Torque reached window,"Torque reached window is a area around set torque . If current setting is Iset and the window is Iwin, the torque arrival window will be [Iset-Iwin, Iset+Iwin].",Current mode
190,Speed reached window,"Speed reached window is a area around speed setting  . If speed setting  is Vset and the window is set to Vwin, the speed arrival window is [Vset-Vwin, Vset+Vwin].",Speed mode
191,Position arrival window,"Position arrival window is a area position setting. If position setting is Pset and the window is set to Pwin, the position arrival window will be [Pset-Pwin, Pset+Pwin].",Position mode
192,Torque reached flag,"Under current control mode, when actual current is within the torque arrival window and set time elapsed, torque reached flag will be set to 1, otherwise 0;",Current mode
193,Speed reached flag,"Under speed control mode, speed reached flag will be set to 1 after acutal speed is within speed reached window and set time elapsed, otherwise 0;",Speed mode
194,Position arrival flag,"Under position control mode, when actual position is within position reached window and set time elapsed, position arrival flag will be set to 1, otherwise 0;",Position mode
195,Power module current temperature,Power module current temperature (0-200 C), statuss
196,Current motor temperature,Current motor temperature   (reserved), statuss
197,Digital input  statuss,"Digital input  statuss:
Bit0 - the  status of input port 1;
Bit1 - the  status of input port 2;
Bit2 - the  status of input port 3;
Bit3 - the  status of input port 4;
Bit4 - the  status of input port 5;
Bit5 - the  status of input port 6;
Bit6 - the  status of input port 7;
Bit7 - the  status of input port 8;
Bit8 - the  status of input port 9;
Bit9 - the  status of the input port 10;
Bit10 - the  status of the input port 11;
Bit11 - the  status of the input port 12;
Note: The number of input of different drive is not same, please refer to specific drive manual;

0-Photocoupler is OFF;
1-Photocoupler is ON;", statuss
198,Digital output  statuss,"Digital output  statuss:
Bit0 - the  status of output port 1;
Bit1 - the  status of output port 2;
Bit2 - the  status of output port 3;
Bit3 - the  status of output port 4;
Bit4 - the  status of the output port 5;
Bit5 - the  status of the output port 6;
Note: The number of output different drive is different, please refer to specific drive manual;

0-Photocoupler is OFF;
1-Photocoupler is ON;
It can also be used to set the  statuss of the output port;", statuss
199, statuss flag,"Bit0 - Completion flag
Bit1 - Near completion flag
Bit2 - Positive limit flag
Bit3 - Negative limit flag
Bit4 - Z pulse found flag
Bit5 - Data recording completion flag
Bit6 - Motor enabled flag
Bit7 - Alarm
0 indicates not triggerd; 1 indicates triggered.", statuss
200,Drive alarm information 1,"Drive alarm information £¨0X0000 indicates no alarm):
bit0-FAULT_SYSTEM_ERROR,  System failed
bit1-FAULT_STARTUP_INCOMPLETE, Drive startup failed
bit2-FAULT_PARAMETER_ERROR, Parameter fault
bit3-FAULT_UNDER_VOLTAGE, Undervoltage alarm
bit4-FAULT_OVER_VOLTAGE,  Overvoltage alarm
bit5-FAULT_I2T_ERROR,  I2t alarm
bit6-WARNING_PEAKCURRENT_ARRIVED, Peak current warning
bit7-FAULT_POSITION_FOLLOWING_ERROR, Position error alarm
bit8-FAULT_ENCODER,  Encoder alarm
bit9-FAULT_VELOCITY_FOLLOWING_ERROR, Speed error alarm
bit10-WARNING_IPM_TEMPERATURE, Power module temperature warning
bit11-FAULT_IPM_TEMPERATURE, Power module temperature alarm
bit12-FAULT_STO_ACTIVE, STO activated alarm
bit13-FAULT_FLASH_ERROR,  Flash failure
bit14-FAULT_CURRENT_OFFSET, Current error fault
bit15-WARNING_MOTOR_DISABLE,  Motor is not enabled, only used as a flag bit. ", statuss
201,Drive alarm information 2,"Drive alarm information£¨If displayed   is 0x0000, there is no alarm.£©:
bit0-FAULT_IPM, power module IPM failure
bit1-FAULT_OVERVELOCITY, motor speed exceeds maximum speed
bit2-FAULT_LACKPHASE, power supply missing fault (reserved)
bit3-FAULT_MOTOR_TEMPERATURE, motor temperature alarm (reserved)
bit4-WARNING_I2T, I2t warning
bit5-WARNING_LIMIT_CW, limit warning
bit6-WARNING_LIMIT_CCWD, limit warning
bit7-FAULT_DISCHARGE_TIMEOUT, discharge timeout alarm
bit8-WARNING_MOTOR_TEMPERATURE, motor temperature warning
bit9-FAULT_ENCODER_INI, four-wire communication encoder initialization alarm
bit10-WARNING_ENCODER_OVERSPEED, four-wire encoder overspeed alarm
bit11-WARNING_ENCODER_BATTERY, four-wire communication encoder battery voltage alarm
bit12-FAULT_ENCODER_CRC, four-wire communication encoder CRC check error
bit13-FAULT_CANOPEN_LIFEGUARD_ERROR, CANOPEN lifeguard function alarm
bit14-FAULT_PVT_CRCFAILED, PVT data CRC check error
Bit15-reserved
", statuss
202,Data collection data length,"Data record length of data record function, maximum   is 2000;",data record
203,Variables corresponding to data recording trigger condition,"Variables used to trigger data recording function, 0 to 19 respectively represent the variables defined in the data recording channel;",data record
204,Data record trigger level,Data logging function trigger level,data record
205,Data logging trigger mode,"Data record trigger mode:
0-Falling edge to trigger;
1-Rising edge to trigger;",data record
206,Data record position variable factor,"Factor of data recording function(position).
Position = actual position ¡Á Pr. 206 / number of pulse per revolution (motor)",data record
207,Speed Reached Window time,"When speed is within speed reached window and set time(this parameter) elapsed, speed reached flag will be set.",Speed mode
208,Clear pulse count error input,Clear pulse count error input,Pulse mode
209,Continuous protection current,"The continuous protection current   used in the drive I2t protection (In a real application, current protection of I2t is the samller one  out of the Pr. 209 and Pr. 5)",Protection
210,Maximum speed limit,"The maximum speed limit of the motor. When motor speed exceeds this value , drive will generate an alarm. If set this parameter to 0, this function will  be invalid, ie no alarm will be generated when speed limit is reached.",Current mode
211,Peak current limit,"Peak current of the drive, the maximum value  of the setting of motor current. When motor is overloaded, this is the max current that motor will get from drive.",Protection
212,I2T current time limit,Time limit of I2T. Refer to algorithm in drive manual;,Protection
213,Protection mode selection Fusing_Limit,"Current protection mode selection (this function is currently not valid):
0- Motor release protection mode, when motor current reaches I2T protection limit, motor will be released, thus protecting motor and drive from overheating;
1- Motor current limit protection mode, when motor current reaches I2T protection limit, motor will not be released, but motor current will be limited to set continuous current to protect motor and drive from overheating; ",Protection
214,Hardware positive limit activation,"
0-Hardware positive limit not activated;
1-Hardware positive limit activated;",Protection
215,Hardware negative limit activation,"
0-Hardware megative limit not activated;
1-Hardware negative limit activated;",Protection
216,"Software high limit, high 16 bits","Software high limit, high 16 bits",Protection
217,Software high limit low 16 bits,Software high limit low 16 bits,Protection
218,"Software low limit, high 16 bits","Software low limit, high 16 bits",Protection
219,"Software low limit, low 16 bits","Software low limit, low 16 bits",Protection
220,Software high limit activated|not activated,"0-Software high limit not activated;
1-Software high limit activated;",Protection
221,Software low limit activated|not activated,"0-Software low limit not activated;
1-Software low limit activated;",Protection
222,Actual Bus Voltage ,Actua Bus voltage of drive, statuss
223,Motor temperature alarm threshold,Motor will be releasd when motor temperature is high than this parameter (reserved),Protection
224,IPM temperature alarm threshold,"When the current protection mode Pr.213 is ¡°Motor release protection mode¡±, and IPM temperature reaches set alarm threshold (this Parameter), drive will generate an alarm but motor will not be released;
When the current protection mode Pr.213 is ¡°Motor current limit protection mode¡±, and IPM temperature reaches the set threshold(this parameter), motor will not be released and motor current will be limited to continuous current set  . When IPM temperature drops below the protection limit, motor current will be allowed to increase till temperature protection is triggered again.",Protection
225,IPM temperature failure threshold,"IPM temperature failure threshold, when IPM temperature reaches this threshold, motor will be realeased for protection regardless of whether the protection mode is set to ""Motor release protection mode"" or ""Motor current limit protection mode"".",Protection
226,Maximum positiona error,"Maximum position error. Under position control, if position error  exceeds the set maximum position error (this parameter) and set time elapsed, the drive will generate an alarm and motor will be released.If maximum position error is set to 0, drive will ignore position error.",Position mode
227,Maximum speed error,"The maximum speed deviation of the speed error alarm. During speed control, if actua speed error exceeds the set maximum speed deviation(this parameter) and exceeds the set time, drive will generate an alarm and the motor will be released.If the maximum speed deviation is set to 0, drive will ignore speed error.",Speed mode
228,Motor temperature failure threshold,Motor temperature alarm threshold (reserved function),Protection
229,Pulse count error clear trigger,Pulse count error clear trigger ,Reserved
230,Stop motion function input,"Define the number of input for stop motion:
0-Not defined;
1-Input 1 is used for STOP MOTION;
2-Input 2 is used for STOP MOTION;
And so on;",Input Output
231,Stop motion level,"0-Low level to trigger Stop motion;
1-High level to trigger Stop motion;",Input Output
232,Emergency stop function input,"Define the number of input as emergency stop switches:
0-Not defined;
1-Input 1 is used for Emergency Stop;
2-Input  is used for Emergency Stop;
And so on",Input Output
233,Emergency stop trigger level,"0-Low level to trigger Emergency Stop;
1-High level to trigger Emergency Stop;",Input Output
234,Home switch trigger level,"0-Home switch output is Low level;
1-Home switch output is High level;",Input Output
235,Home switch input definition,"Define the number of input for home switch:
0-Not defined;
1-Input 1 for home switch;
2-Input 2 for home switch;
And so on;",Input Output
236,Servo ready function output ,"Define the number of output for servo ready signal
0-Not defined;
1-Output 1 for Servo Ready;
2-Output 2 for Servo Ready;
And so on",Input Output
237,Motor enable function input,"0-Not defined;
1-Input1 for motor enable input;
2-Input2 for motor enable input;
And so on",Input Output
238,Clear fault function input,"0-Not defined;
1-Input1 for clear fault input;
2-Input2 for clear fault input;
And so on",Input Output
239,Positive limit input,"0-Not defined;
1-Input1 for positive limit input;
2-Input2 for positive limit input;
And so on",Input Output
240,Negative limit input,"0-Not defined;
1-Input1 for negatve limit input;
2-Input2 for negative limit input;
And so on",Input Output
241,Positive jog input,"0-Not defined;
1-Input1 for positive jog input;
2-Input2 for positive jog input;
And so on",Input Output
242,Negative jog input,"0-Not defined;
1-Input1 for negative jog input;
2-Input2 for negative jog input;
And so on",Input Output
243,Start Homing Input,"0-Not defined;
1-Input1 for start homing input;
2-Input2 for start homing input;
And so on",Input Output
244,Analog input,"Define the number of analog input for the analog control function:
0-Not defined;
1-Input1 for analog input under analog control mode;
2-Input2 for analog input under analog control mode;",Input Output
245,Pulse inhibit input,"0-Not defined;
1-Input1 for pulse inhibit input;
2-Input2 for pulse inhibit input;
And so on",Input Output
246,Fault output ,"Define the output for fault output:
0-Not defined;
1-Output1 for fault signal output;
2-Output1 for fault signal output;
And so on",Input Output
247,Position Reached output,"Define the output for position arrival output under position control mode:
0-Not defined;
1-Output1 for position arrival output signal;
2-Output2 for position arrival output signal;
And so on",Input Output
248,Speed reached function output definition,"Define the number of output for speed reached output under speed control mode:
0-Not defined;
1-Output1 for speed reached signal;
2-Output2 for speed reached signal;
And so on",Input Output
249,Torque reached output,"Define the number of output for torque raeched under current control mode:
0-Not defined;
1-Output1 for torque reached signal;
2-Output2 for torque reached signal;
And so on",Input Output
250,Zero speed clamp input,"Define the number of input for zero speed clamp function:
0-Not defined;
1-Input1 is used as a zero speed clamp input;
2-Input2 is used as a zero speed clamp input;
And so on",Input Output
251,Servo ready trigger level,"0-Low level enable;
1-High level enable;",Input Output
252,Motor enable trigger level,"0-Low level enable;
1-High level enable;",Input Output
253,Clear fault trigger level,"0-Low level clear fault information;
1-High level clear fault information;",Input Output
254,Positive limit trigger level,"Input port positive limit function trigger level:
0-low level triggers the positive limit;
1-High level triggers positive limit;",Input Output
255,Negative limit trigger level,"0-Low level triggers negative limit;
1-High level triggers negative limit;£»",Input Output
256,Positive jog trigger level,"0-Low level starts forward jog;
1-High level starts positive jog;",Input Output
257,Negative jog trigger level,"The input port activates the negative jog trigger level:
0-low level initiates negative jog;
1-High level initiates negative jog;",Input Output
258,Start homing trigger level,"
0-low level starts to return to zero;
1-High level starts to return to zero;",Input Output
259,Pulse inhibit trigger level,"
0-low level starts to activate;
1-High level starts to activate;",Input Output
260,Zero speed clamp trigger level,"
0-low level starts to activate;
1-High level starts to activate;",Input Output
261,Fault output trigger level,"
0-Low level output;
1-High level output;",Input Output
262,Position arrival trigger level,"
0-Low level output;
1-High level output;",Input Output
263,Speed arrival trigger level,"
0-Low level output;
1-High level output;",Input Output
264,Torque arrival trigger level,"
0-Low level output;
1-High level output;",Input Output
265,Analog input 1  ,Analog input 1  ,Input Output
266,Analog input 2  ,Analog input 2  ,Input Output
267,Analog output 1  ,Analog output 1  ,Input Output
268,Analog output 2  ,Analog output 2  ,Input Output
269,Reserved,Reserved,Reserved
270,Location arrival window set time,"Set time for position arrival window. After position is within the window and set time(this parameter) elapsed, it will  be considered position arrival completed.",Position mode
271,Current reaches window set time,"Set time for current reached window. After current is within the window(a range around target current) and set time(this parameter) elapsed, it will  be considered as current reached completed..",Current mode
272,Direction setting input under Analog control,"Define the number of input for direction control input under analog control mode:
0-Not defined;
1-Input1 as direction control input under analog control mode;
2-Input2 as direction control input under analog control mode;
And so on",Input Output
273,Direction setting input tigger level under Analog control,"0-Low level to activate;
1-High level to activate;",Analog mode
274,LifeGuard time,"Unit of lifeguard time is ms. If  0, indicating no lifeguard function; Only valid under MOTECAN protocol or MODBUS protocol in RS232/Rs485/CAN network.",Protection
275,Reserved,Reserved,Reserved
276,LifeGuard enable,Set to 9999 to activate lifeGuard function,Protection
277,Zero speed flag output,"Define the number one output for zero speed flag output:
0-Not defined;
1-Output1 as zero speed flag output;
2-Output2 as zero speed flag output;
And so on",Input Output
278,Zero speed flag output level,"0-Low level to indicate zero speed flag;
1-high level tp indicate zero speed flag;",Input Output
279,Z pulse numbers to be find in homing process,The number of pulses to be find during homing process.,Homing
280,Stablization time duration(gap) in homing process,"During homing process there are different stages ie find home switch, offset, finding pulse etc. This paramter define a stablization time between each stage.",Homing
281,Homing offset high 16 bits,Homing offet high 16 bits. The 32 bits number includes +/- information. Please refer to MOTEC manual,Homing
282,Homing offet low 16 bits,Homing offet low 16 bits. The 32 bits number includes +/- information. Please refer to MOTEC manual,Homing
283,Homing  status flag,"0: Homing failed or homing in process or homing is not performed; 
1: Homing successful;",Homing
284,Reserved,Reserved,Reserved
285,Reserved,Reserved,Reserved
286,Reserved,Reserved,Reserved
287,Reserved,Reserved,Reserved
288,Current mode control strategy,"Control Strategy:
0-Max speed limit;
1-No speed limit, current set changes step by step;
2-No speed limit, current set changes slowly according to set filter;
3-Check current loop response according to current loop cycle",Current mode
289,Zero speed threshold,"When actual speed is below this threshold, speed zero flag will be set;",Speed mode
290,Reserved,Reserved,Reserved
291,Actual I2T,"The actual value of I2t, displayed as a percentage of set I2T , 1000 indicates 100%",Protection
292,Reserved,Reserved,Reserved
293,Reserved,Reserved,Reserved
294,Reserved,Reserved,Reserved
295,Reserved,Reserved,Reserved
296,Reserved,Reserved,Reserved
297,Reserved,Reserved,Reserved
298,Reserved,Reserved,Reserved
299,CAN communication protocol options,"0-MOTECIAN communication, 
1-CANOPEN communication, 
Restart drive to apply after any change",Control Parameter
300,Reserved,Reserved,Reserved
301,Reserved,Reserved,Reserved
302,Positive current limit,"Positive current limit  , which is the minimum out of rated current and continuous current, 0 to 300, representing 0% to 300%, and the maximum value shall not exceed motor peak current;",Control Parameter
303,Negative current limit,"Negative current limit, which is the minimum   out of rated current and continuous current, 0~300 represents 0% to 300%, and the maximum   value shall not exceed motor peak current;",Control Parameter
304,Positive current limit enable flag,"0-Positive current limit is invalid, 
1-Positive current limit is valid, 
All other values are regarded as 0;",Control Parameter
305,Negative current limit enable flag,"0-Negative current limit is invalid, 
1-Negative current limit is valid,
ALl other  values are regarded as 0;",Control Parameter
306,Positive current limit trigger flag,"0-Forward current limit is not triggered, 
1-forward current limit triggered;",Control Parameter
307,Negative current limit trigger flag,"0-Negative current limit is not triggered, 
1-Negative current limit triggered;",Control Parameter
308,Motor rotating direction,"Define the direction of rotation of the motor; 0 for one direction, others for apposite direction;",Control Parameter
309,PVT queue data clearing,Set 1 to clear PVT data,PVT
310,PVT queue head,PVT queue head,PVT
311,PVT queue tail,PVT queue tail,PVT
312,PVT queue  statuss,"PVT queue  statuss£º
0-Queue is full;
1-Empty queue£»
2-Queue is missing data;
3-Queue is normal;",PVT
313,PVT cycle time,"PVT cycle time, in ms",PVT
314,Data alarm limit in the PVT queue,"The minimum number of data limit of PVT queue alarm. When data number in PVT queue is less than this value , an alarm of PVT queue is missing data will be generated.",PVT
315,PVT operating mode,"0-Data comes from the network, 
1-Data comes from flash,
2-Internal simulation",PVT
316,PVT start/stop,"0-stop, 1-start",PVT
317,PVT simulation position amplitude high 16 bits ,PVT simulation position amplitude high 16 bits ,PVT
318,PVT simulation position amplitude low 16 bits,PVT simulation position amplitude low 16 bits,PVT
319,PVT simulation cycle,"PVT simulation cycle (in one SINE period), in ms",PVT
320,Internal Flash mode run times,Internal Flash mode run times,PVT
321,PVT smoothing filter,PVT mode smoothing filter;,PVT
322,Internal Flash mode time gap between two motions,"Gap time between the 1st motion and the next motion in PVT internal flash mode, 1 unit is 65 microseconds; ",PVT
323,Absolute encoder mode switching,"0: Incremental mode;
1: 0 to PMAX (maximum position) mode;
2: -PMAX/2 to 0 to +PMAX/2 mode;",Control Parameter
324,Reserved,Reserved,Reserved
325,Reserved,Reserved,Reserved
326,Reserved,Reserved,Reserved
327,Proportional gain scaling factor,"100: Increase proportion gain of internal speed loop and position loop by 100 times;
10: Increase proportion gain of internal speed loop and position loop by 10 times;
-10: Reduce proportion gain of internal speed loop and position loop by 10 times;
-100:Reduce proportion gain of internal speed loop and position loop by 100 times;;
Other  values: keep original gain unchanged;",Reserved
328,Integral gain scaling factor,"100: Increase integral gain of internal speed loop and position loop by 100 times;
10: Increase integral gain of internal speed loop and position loop by 10 times;
-10: Reduce integral gain of internal speed loop and position loop by 10 times;
-100:Reduce integral gain of internal speed loop and position loop by 100 times;;
Other  values: keep original gain unchanged;",Control gain
329,Gain scaling enable,Set to 9999 to apply gain scaling strategy otherwise not applied.,Control gain
330,Position setting   Bit32-Bit47,Position setting   Bit32-Bit47,Position mode
331,Position actual   Bit33-Bit48,Position actual   Bit33-Bit48,Position mode
332,Absolute encoder home position Bit32-Bit47,Absolute encoder home position Bit32-Bit47,Position mode
333,Absolute encoder home position Bit16-Bit31,Absolute encoder home position Bit16-Bit31,Position mode
334,Absolute encoder home position Bit0-Bit15,Absolute encoder home position Bit0-Bit15,Position mode
335,Reserved,Reserved,Reserved
336,Reserved,Reserved,Reserved
337,Reserved,Reserved,Reserved
338,Reserved,Reserved,Reserved
339,Reserved,Reserved,Reserved
340,Reserved,Reserved,Reserved
341,Reserved,Reserved,Reserved
342,Reserved,Reserved,Reserved
343,Reserved,Reserved,Reserved
344,Reserved,Reserved,Reserved
345,Reserved,Reserved,Reserved
346,Reserved,Reserved,Reserved
347,Reserved,Reserved,Reserved
348,Define number of encoder pulses per revolution. High 16 bits,"Define number of encoder pulses per turn high 16 bits, together with low 16 bits to form a 32-bit unsigned number
When both Pr348 and Pr349 are set to zero, number of encoder pulses per revolution of the motor is counted by the motor's own encoder.
When the Pr348 and Pr349 are not set to zero, number of encoder pulses per revolution of the motor is counted according to the set in software settings.",Control Parameter
349,Define number of encoder pulses per revolution. Low 16 bits,"Define number of encoder pulses per turn low 16 bits, together with high 16 bits to form a 32-bit unsigned number
When both Pr348 and Pr349 are set to zero, number of encoder pulses per revolution of the motor is counted by the motor's own encoder.
When the Pr348 and Pr349 are not set to zero, number of encoder pulses per revolution of the motor is counted according to the   set in software settings.",Control Parameter
